Gene symbol,Official name,tissue
SEC23A,Sec23 homolog A. coat complex II component,glom
SEC24D,SEC24 homolog D. COPII coat complex component,tub
SEC31B,SEC31 homolog B. COPII coat complex component,glom
SEC61A1,Sec61 translocon alpha 1 subunit,glom
SECISBP2,SECIS binding protein 2,tub
SEH1L,SEH1 like nucleoporin,tub
SELENBP1,selenium binding protein 1,tub
SELENOI,selenoprotein I,tub
SELENOK,selenoprotein K,tub
SELENON,selenoprotein N,tub
SELENOP,selenoprotein P,tub
SELENOT,selenoprotein T,tub
SELL,selectin L,tub
SELP,selectin P,tub
SEMA3A,semaphorin 3A,tub
SEMA3D,semaphorin 3D,glom
SEMA3G,semaphorin 3G,glom
SEMA4D,semaphorin 4D,tub
SEMA4F,ssemaphorin 4F,tub
SEMA4G,semaphorin 4G,tub
SEMA5A,semaphorin 5A,glom
SEMA5B,semaphorin 5B,glom
SEMA6C,semaphorin 6C,tub
SENP2,SUMO specific peptidase 2,tub
SENP3,SUMO specific peptidase 3,tub
SENP5,SUMO specific peptidase 5,tub
SEPHS1,selenophosphate synthetase 1,tub
SEPTIN11,septin 11,glom
SEPTIN2,septin 2,tub
SEPTIN4,septin 4,tub
SEPTIN7,septin 7,tub
SEPTIN9,septin 9,tub
SERINC2,serine incorporator 2,glom
SERINC5,serine incorporator 5,glom
SERP1,stress associated endoplasmic reticulum protein 1,tub
SERPINA1,serpin family A member 1,tub
SERPINA3,serpin family A member 3,tub
SERPINA6,serpin family A member 6,tub
SERPING1,serpin family G member 1,tub
SESN3,sestrin 3,tub
SETD5,SET domain containing 5,glom
SETD6,SET domain containing 6,tub
SETD7,SET domain containing lysine methyltransferase 7,tub
SETD9,SET domain containing 9,tub
SEZ6L2,seizure related 6 homolog like 2,tub
SF3B2,splicing factor 3b subunit 2,tub
SF3B3,splicing factor 3b subunit 3,tub
SFI1,SFI1 centrin binding protein,tub
SFN,stratifin,tub
SFRP1,secreted frizzled related protein 1,glom
SFT2D2,SFT2 domain containing 2,glom
SFXN1,sideroflexin 1,tub
SFXN2,sideroflexin 2,tub
SGIP1,SH3 domain GRB2 like endophilin interacting protein 1,glom
SGK2,SGK2. serine/threonine kinase 2,tub
SGK3,serum/glucocorticoid regulated kinase family member 3,tub
SGMS2,sphingomyelin synthase 2,tub
SGO1,shugoshin 1,tub
SGO2,shugoshin 2,tub
SGPL1,sphingosine-1-phosphate lyase 1,glom
SH2B3,SH2B adaptor protein 3,tub
SH3BGR,SH3 domain binding glutamate rich protein,tub
SH3BGRL2,SH3 domain binding glutamate rich protein like 2,glom
SH3BP5L,SH3 binding domain protein 5 like,tub
SH3PXD2B,SH3 and PX domains 2B,tub
SH3RF2,SH3 domain containing ring finger 2,tub
SH3RF3,SH3 domain containing ring finger 3,tub
SH3YL1,SH3 and SYLF domain containing 1,tub
SHANK2,SH3 and multiple ankyrin repeat domains 2,tub
SHBG,sex hormone binding globulin,tub
SHISA2,shisa family member 2,glom
SHISA5,shisa family member 5,tub
SHKBP1,SH3KBP1 binding protein 1,tub
SHMT1,serine hydroxymethyltransferase 1,tub
SHPK,sedoheptulokinase,tub
SIAE,sialic acid acetylesterase,tub
SIDT1,SID1 transmembrane family member 1,tub
SIGIRR,single Ig and TIR domain containing,tub
SIGLEC10,sialic acid binding Ig like lectin 10,tub
SIGLEC9,sialic acid binding Ig like lectin 9,tub
SIK3,SIK family kinase 3,glom
SIPA1,signal-induced proliferation-associated 1,tub
SIPA1L2,signal induced proliferation associated 1 like 2,tub
SIRPA,signal regulatory protein alpha,glom
SIRPB1,signal regulatory protein beta 1,tub
SIRT2,sirtuin 2,tub
SIRT3,sirtuin 3,tub
SIVA1,SIVA1 apoptosis inducing factor,tub
SIX2,SIX homeobox 2,glom
SIX4,SIX homeobox 4,tub
SKA3,spindle and kinetochore associated complex subunit 3,tub
SKIL,SKI like proto-oncogene,tub
SKP1,S-phase kinase associated protein 1,tub
SKP2,S-phase kinase associated protein 2,tub
SLA,Src like adaptor,tub
SLAIN1,SLAIN motif family member 1,tub
SLAMF7,SLAM family member 7,glom
SLAMF8,SLAM family member 8,tub
SLC10A2,solute carrier family 10 member 2,tub
SLC12A3,solute carrier family 12 member 3,tub
SLC12A4,solute carrier family 12 member 4,tub
SLC12A6,solute carrier family 12 member 6,tub
SLC12A7,solute carrier family 12 member 7,glom
SLC12A8,solute carrier family 12 member 8,tub
SLC13A4,solute carrier family 13 member 4,glom
SLC14A2,solute carrier family 14 member 2,tub
SLC15A3,solute carrier family 15 member 3,tub
SLC15A4,solute carrier family 15 member 4,glom
SLC16A1,solute carrier family 16 member 1,glom
SLC16A10,solute carrier family 16 member 10,tub
SLC16A11,solute carrier family 16 member 11,tub
SLC16A12,solute carrier family 16 member 12,tub
SLC16A4,solute carrier family 16 member 4,tub
SLC16A5,solute carrier family 16 member 5,glom
SLC16A6,solute carrier family 16 member 6,tub
SLC16A7,solute carrier family 16 member 7,tub
SLC16A8,solute carrier family 16 member 8,glom
SLC17A5,solute carrier family 17 member 5,tub
SLC18A2,solute carrier family 18 member A2,tub
SLC18B1,solute carrier family 18 member B1,glom
SLC19A2,solute carrier family 19 member 2,tub
SLC1A1,solute carrier family 1 member 1,tub
SLC1A3,solute carrier family 1 member 3,tub
SLC1A7,solute carrier family 1 member 7,tub
SLC20A1,solute carrier family 20 member 1,tub
SLC20A2,solute carrier family 20 member 2,tub
SLC22A13,solute carrier family 22 member 13,tub
SLC22A23,solute carrier family 22 member 23,tub
SLC22A4,solute carrier family 22 member 4,tub
SLC22A5,solute carrier family 22 member 5,tub
SLC22A6,solute carrier family 22 member 6,tub
SLC22A7,solute carrier family 22 member 7,tub
SLC23A1,solute carrier family 23 member 1,tub
SLC23A3,solute carrier family 23 member 3,tub
SLC25A1,solute carrier family 25 member 1,tub
SLC25A10,solute carrier family 25 member 10,tub
SLC25A11,solute carrier family 25 member 11,tub
SLC25A16,solute carrier family 25 member 16,tub
SLC25A20,solute carrier family 25 member 20,tub
SLC25A21,solute carrier family 25 member 21,tub
SLC25A3,solute carrier family 25 member 3,tub
SLC25A30,solute carrier family 25 member 30,tub
SLC25A32,solute carrier family 25 member 32,tub
SLC25A34,solute carrier family 25 member 34,tub
SLC25A36,solute carrier family 25 member 36,tub
SLC25A37,solute carrier family 25 member 37,glom
SLC25A4,solute carrier family 25 member 4,tub
SLC25A42,solute carrier family 25 member 42,tub
SLC25A44,solute carrier family 25 member 44,tub
SLC25A47,solute carrier family 25 member 47,tub
SLC25A48,solute carrier family 25 member 48,tub
SLC25A5,solute carrier family 25 member 5,tub
SLC25A6,solute carrier family 25 member 6,tub
SLC26A1,solute carrier family 26 member 1,tub
SLC26A11,solute carrier family 26 member 11,tub
SLC26A2,solute carrier family 26 member 2,tub
SLC26A6,solute carrier family 26 member 6,tub
SLC26A7,solute carrier family 26 member 7,tub
SLC27A2,solute carrier family 27 member 2,tub
SLC27A3,solute carrier family 27 member 3,tub
SLC28A1,solute carrier family 28 member 1,tub
SLC29A3,solute carrier family 29 member 3,tub
SLC2A1,solute carrier family 2 member 1,tub
SLC2A10,solute carrier family 2 member 10,tub
SLC2A3,solute carrier family 2 member 3,glom
SLC2A4,solute carrier family 2 member 4,tub
SLC2A4RG,SLC2A4 regulator,tub
SLC2A5,solute carrier family 2 member 5,tub
SLC2A6,solute carrier family 2 member 6,tub
SLC2A9,solute carrier family 2 member 9,glom
SLC30A1,solute carrier family 30 member 1,tub
SLC30A7,solute carrier family 30 member 7,glom
SLC30A8,solute carrier family 30 member 8,tub
SLC31A1,solute carrier family 31 member 1,tub
SLC31A2,solute carrier family 31 member 2,tub
SLC34A3,solute carrier family 34 member 3,tub
SLC35B3,solute carrier family 35 member B3,tub
SLC35C1,solute carrier family 35 member C1,tub
SLC35D1,solute carrier family 35 member D1,tub
SLC35E3,solute carrier family 35 member E3,tub
SLC35F5,solute carrier family 35 member F5,glom
SLC35G1,solute carrier family 35 member G1,tub
SLC36A2,solute carrier family 36 member 2,tub
SLC36A4,solute carrier family 36 member 4,tub
SLC37A1,solute carrier family 37 member 1,tub
SLC37A2,solute carrier family 37 member 2,tub
SLC37A3,solute carrier family 37 member 3,glom
SLC37A4,solute carrier family 37 member 4,tub
SLC38A11,solute carrier family 38 member 11,tub
SLC38A2,solute carrier family 38 member 2,tub
SLC38A5,solute carrier family 38 member 5,tub
SLC38A7,solute carrier family 38 member 7,tub
SLC39A10,solute carrier family 39 member 10,tub
SLC39A11,solute carrier family 39 member 11,glom
SLC39A5,solute carrier family 39 member 5,tub
SLC39A6,solute carrier family 39 member 6,tub
SLC39A8,solute carrier family 39 member 8,tub
SLC40A1,solute carrier family 40 member 1,glom
SLC41A1,solute carrier family 41 member 1,tub
SLC43A3,solute carrier family 43 member 3,tub
SLC44A3,solute carrier family 44 member 3,glom
SLC45A4,solute carrier family 45 member 4,tub
SLC4A1,solute carrier family 4 member 1 (Diego blood group),tub
SLC4A11,solute carrier family 4 member 11,glom
SLC4A3,solute carrier family 4 member 3,tub
SLC4A9,solute carrier family 4 member 9,tub
SLC51A,solute carrier family 51 alpha subunit,tub
SLC51B,solute carrier family 51 beta subunit,tub
SLC5A1,solute carrier family 5 member 1,tub
SLC5A10,solute carrier family 5 member 10,tub
SLC5A11,solute carrier family 5 member 11,tub
SLC5A12,solute carrier family 5 member 12,tub
SLC5A3,solute carrier family 5 member 3,tub
SLC6A1,solute carrier family 6 member 1,tub
SLC6A13,solute carrier family 6 member 13,tub
SLC6A17,solute carrier family 6 member 17,tub
SLC6A19,solute carrier family 6 member 19,tub
SLC6A6,solute carrier family 6 member 6,glom
SLC7A13,solute carrier family 7 member 13,tub
SLC7A6OS,solute carrier family 7 member 6 opposite strand,tub
SLC7A7,solute carrier family 7 member 7,tub
SLC7A9,solute carrier family 7 member 9,tub
SLC8B1,solute carrier family 8 member B1,tub
SLC9A9,solute carrier family 9 member A9,tub
SLC9B2,solute carrier family 9 member B2,tub
SLCO3A1,solute carrier organic anion transporter family member 3A1,tub
SLCO4A1,solute carrier organic anion transporter family member 4A1,tub
SLCO4C1,solute carrier organic anion transporter family member 4C1,tub
SLF1,SMC5-SMC6 complex localization factor 1,tub
SLFN11,schlafen family member 11,tub
SLFN12,schlafen family member 12,tub
SLFN13,schlafen family member 13,tub
SLFN5,schlafen family member 5,tub
SLIRP,SRA stem-loop interacting RNA binding protein,tub
SLIT2,slit guidance ligand 2,tub
SLIT3,slit guidance ligand 3,tub
SLITRK4,SLIT and NTRK like family member 4,tub
SLTM,SAFB like transcription modulator,glom
SMAD1,SMAD family member 1,tub
SMAD3,SMAD family member 3,tub
SMAD4,SMAD family member 4,glom
SMAD5,SMAD family member 5,glom
SMAD6,SMAD family member 6,glom
SMAD7,SMAD family member 7,tub
SMAP2,small ArfGAP2,tub
SMARCA1,SWI/SNF related. matrix associated. actin dependent regulator of chromatin. subfamily a. member 1,tub
SMARCA4,SWI/SNF related. matrix associated. actin dependent regulator of chromatin. subfamily a. member 4,tub
SMARCAD1,SWI/SNF-related. matrix-associated actin-dependent regulator of chromatin. subfamily a. containing DEAD/H box 1,tub
SMARCAL1,SWI/SNF related. matrix associated. actin dependent regulator of chromatin. subfamily a like 1,tub
SMARCD3,SWI/SNF related. matrix associated. actin dependent regulator of chromatin. subfamily d. member 3,tub
SMARCE1,SWI/SNF related. matrix associated. actin dependent regulator of chromatin. subfamily e. member 1,tub
SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,tub
SMCO3,single-pass membrane protein with coiled-coil domains 3,glom
SMCO4,single-pass membrane protein with coiled-coil domains 4,glom
SMDT1,single-pass membrane protein with aspartate rich tail 1,tub
SMIM1,small integral membrane protein 1 (Vel blood group),tub
SMIM10L2B,small integral membrane protein 10 like 2B,glom
SMIM12,small integral membrane protein 12,tub
SMIM19,small integral membrane protein 19,tub
SMIM26,small integral membrane protein 26,tub
SMIM27,small integral membrane protein 27,tub
SMIM32,small integral membrane protein 32,tub
SMIM5,small integral membrane protein 5,tub
SMIM6,small integral membrane protein 6,tub
SMIM8,small integral membrane protein 8,tub
SMKR1,small lysine rich protein 1,tub
SMNDC1,survival motor neuron domain containing 1,tub
SMO,smoothened. frizzled class receptor,glom
SMOC2,SPARC related modular calcium binding 2,tub
SMOX,spermine oxidase,tub
SMPD3,sphingomyelin phosphodiesterase 3,tub
SMPDL3A,sphingomyelin phosphodiesterase acid like 3A,tub
SMS,spermine synthase,glom
SMUG1,single-strand-selective monofunctional uracil-DNA glycosylase 1,tub
SMYD2,SET and MYND domain containing 2,tub
SMYD4,SET and MYND domain containing 4,tub
SMYD5,SMYD family member 5,tub
SNAI1,snail family transcriptional repressor 1,tub
SNAI2,snail family transcriptional repressor 2,tub
SNAI3,snail family transcriptional repressor 3,tub
SNAP25,synaptosome associated protein 25,tub
SNCA,synuclein alpha,glom
SNCAIP,synuclein alpha interacting protein,tub
SND1,staphylococcal nuclease and tudor domain containing 1,tub
SNN,stannin,glom
SNPH,syntaphilin,tub
SNRK,SNF related kinase,tub
SNRPA,small nuclear ribonucleoprotein polypeptide A,tub
SNRPN,small nuclear ribonucleoprotein polypeptide N,tub
SNX10,sorting nexin 10,glom
SNX16,sorting nexin 16,tub
SNX2,sorting nexin 2,glom
SNX3,sorting nexin 3,glom
SNX30,sorting nexin family member 30,tub
SNX5,sorting nexin 5,tub
SNX7,sorting nexin 7,glom
SOAT1,sterol O-acyltransferase 1,glom
SOBP,sine oculis binding protein homolog,glom
SOCS6,suppressor of cytokine signaling 6,tub
SOD2,superoxide dismutase 2,glom
SOGA1,suppressor of glucose. autophagy associated 1,tub
SON,SON DNA binding protein,glom
SORCS1,sortilin related VPS10 domain containing receptor 1,tub
SORD,sorbitol dehydrogenase,tub
SORT1,sortilin 1,glom
SOST,sclerostin,tub
SOWAHA,sosondowah ankyrin repeat domain family member A,tub
SOX13,SRY-box 13,tub
SOX4,SRY-box 4,tub
SOX7,SRY-box 7,tub
SOX9,SRY-box 9,tub
SP100,SP100 nuclear antigen,tub
SP110,SP110 nuclear body protein,tub
SP140,SP140 nuclear body protein,tub
SP140L,SP140 nuclear body protein like,tub
SPAG17,sperm associated antigen 17,tub
SPAG5,sperm associated antigen 5,tub
SPAG6,sperm associated antigen 6,tub
SPAG9,sperm associated antigen 9,tub
SPARC,secreted protein acidic and cysteine rich,tub
SPATA13,spermatogenesis associated 13,glom
SPATA18,spermatogenesis associated 18,glom
SPATA2,spermatogenesis associated 2,tub
SPATA24,spermatogenesis associated 24,tub
SPATA2L,spermatogenesis associated 2 like,tub
SPATA4,spermatogenesis associated 4,tub
SPATA6L,spermatogenesis associated 6 like,tub
SPATS2,spermatogenesis associated serine rich 2,tub
SPC24,SPC24. NDC80 kinetochore complex component,tub
SPCS1,signal peptidase complex subunit 1,tub
SPDL1,spindle apparatus coiled-coil protein 1,tub
SPDYE6,speedy/RINGO cell cycle regulator family member E6,tub
SPECC1,sperm antigen with calponin homology and coiled-coil domains 1,tub
SPI1,Spi-1 proto-oncogene,tub
SPINT1,serine peptidase inhibitor. Kunitz type 1,glom
SPIRE1,spire type actin nucleation factor 1,glom
SPN,sialophorin,tub
SPOCK1,SPARC (osteonectin). cwcv and kazal like domains proteoglycan 1,glom
SPOCK2,SPARC (osteonectin). cwcv and kazal like domains proteoglycan 2,glom
SPON1,spondin 1,tub
SPPL3,signal peptide peptidase like 3,glom
SPRED2,sprouty related EVH1 domain containing 2,tub
SPRY1,sprouty RTK signaling antagonist 1,glom
SPRYD7,SPRY domain containing 7,tub
SPTAN1,spectrin alpha. non-erythrocytic 1,tub
SPTLC2,serine palmitoyltransferase long chain base subunit 2,tub
SPTSSA,serine palmitoyltransferase small subunit A,tub
SPTY2D1OS,SPTY2D1 opposite strand,tub
SQLE,squalene epoxidase,tub
SRA1,steroid receptor RNA activator 1,tub
SRC,SRC proto-oncogene. non-receptor tyrosine kinase,tub
SREBF2,sterol regulatory element binding transcription factor 2,tub
SREK1,splicing regulatory glutamic acid and lysine rich protein 1,glom
SRGAP1,SLIT-ROBO Rho GTPase activating protein 1,glom
SRGAP2,SLIT-ROBO Rho GTPase activating protein 2,glom
SRGAP2B,SLIT-ROBO Rho GTPase activating protein 2B,glom
SRGAP2C,SLIT-ROBO Rho GTPase activating protein 2C,glom
SRP19,signal recognition particle 19,tub
SRPK2,SRSF protein kinase 2,tub
SRPX,sushi repeat containing protein X-linked,tub
SRPX2,sushi repeat containing protein X-linked 2,tub
SRSF11,serine and arginine rich splicing factor 11,glom
SRSF2,serine and arginine rich splicing factor 2,tub
SRSF4,serine and arginine rich splicing factor 4,tub
SRSF8,serine and arginine rich splicing factor 8,tub
SRXN1,sulfiredoxin 1,tub
SS18L1,SS18L1. nBAF chromatin remodeling complex subunit,tub
SSBP2,single stranded DNA binding protein 2,glom
SSBP3,single stranded DNA binding protein 3,glom
SSPN,sarcospan,tub
SSSCA1,Sjogren syndrome/scleroderma autoantigen 1,tub
SSX2IP,SSX family member 2 interacting protein,glom
ST13,ST13. Hsp70 interacting protein,tub
ST20,suppressor of tumorigenicity 20,tub
ST3GAL4,ST3 beta-galactoside alpha-2.3-sialyltransferase 4,tub
ST5,suppression of tumorigenicity 5,tub
ST6GALNAC4,ST6 N-acetylgalactosaminide alpha-2.6-sialyltransferase 4,tub
ST6GALNAC6,ST6 N-acetylgalactosaminide alpha-2.6-sialyltransferase 6,glom
ST7L,suppression of tumorigenicity 7 like,tub
ST8SIA4,ST8 alpha-N-acetyl-neuraminide alpha-2.8-sialyltransferase 4,tub
STAB1,stabilin 1,tub
STAC2,SH3 and cysteine rich domain 2,tub
STAG3,stromal antigen 3,tub
STAM,signal transducing adaptor molecule,glom
STAMBPL1,STAM binding protein like 1,tub
STAP2,signal transducing adaptor family member 2,glom
STARD10,StAR related lipid transfer domain containing 10,tub
STARD4,StAR related lipid transfer domain containing 4,tub
STARD5,StAR related lipid transfer domain containing 5,tub
STARD9,StAR related lipid transfer domain containing 9,tub
STAT1,signal transducer and activator of transcription 1,tub
STAT2,signal transducer and activator of transcription 2,tub
STAT4,signal transducer and activator of transcription 4,tub
STAU1,staufen double-stranded RNA binding protein 1,tub
STC1,stanniocalcin 1,tub
STIL,STIL. centriolar assembly protein,tub
STK10,serine/threonine kinase 10,tub
STK11IP,serine/threonine kinase 11 interacting protein,tub
STK17B,serine/threonine kinase 17b,tub
STK26,serine/threonine kinase 26,tub
STK32A,serine/threonine kinase 32A,tub
STK35,serine/threonine kinase 35,tub
STK38,serine/threonine kinase 38,tub
STK4,serine/threonine kinase 4,tub
STK40,serine/threonine kinase 40,tub
STKLD1,serine/threonine kinase like domain containing 1,tub
STMN1,stathmin 1,tub
STOML1,stomatin like 1,tub
STON1,stonin 1,glom
STOX2,storkhead box 2,tub
STPG1,sperm tail PG-rich repeat containing 1,tub
STRADB,STE20-related kinase adaptor beta,tub
STRAP,serine/threonine kinase receptor associated protein,tub
STRIP2,striatin interacting protein 2,tub
STRN3,striatin 3,tub
STS,steroid sulfatase,tub
STUM,stum. mechanosensory transduction mediator homolog,tub
STX11,syntaxin 11,glom
STX12,syntaxin 12,tub
STX16,syntaxin 16,glom
STX1B,syntaxin 1B,tub
STX6,syntaxin 6,tub
SUCLG1,succinate-CoA ligase alpha subunit,tub
SUCLG2,succinate-CoA ligase GDP-forming beta subunit,tub
SUCNR1,succinate receptor 1,glom
SUGCT,succinyl-CoA:glutarate-CoA transferase,tub
SUGP1,SURP and G-patch domain containing 1,tub
SUGP2,SURP and G-patch domain containing 2,tub
SULF1,sulfatase 1,tub
SULF2,sulfatase 2,tub
SULT1A2,sulfotransferase family 1A member 2,glom
SULT1B1,sulfotransferase family 1B member 1,tub
SULT2B1,sulfotransferase family 2B member 1,tub
SURF1,SURF1. cytochrome c oxidase assembly factor,tub
SUSD2,sushi domain containing 2,tub
SUSD3,sushi domain containing 3,tub
SUSD6,sushi domain containing 6,tub
SV2A,synaptic vesicle glycoprotein 2A,tub
SV2B,synaptic vesicle glycoprotein 2B,tub
SVIP,small VCP interacting protein,tub
SYDE1,synapse defective Rho GTPase homolog 1,glom
SYNC,syncoilin. intermediate filament protein,tub
SYNE1,spectrin repeat containing nuclear envelope protein 1,glom
SYNE4,spectrin repeat containing nuclear envelope family member 4,tub
SYNJ2,synaptojanin 2,glom
SYNPO,synaptopodin,glom
SYNPO2,synaptopodin 2,tub
SYPL2,synaptophysin like 2,tub
SYS1,SYS1. golgi trafficking protein,tub
SYT10,synaptotagmin 10,tub
SYT13,synaptotagmin 13,tub
SYT14,synaptotagmin 14,tub
SYT7,synaptotagmin 7,tub
SYTL1,synaptotagmin like 1,tub
SYTL5,synaptotagmin like 5,tub
TAC1,tachykinin precursor 1,tub
TACC2,transforming acidic coiled-coil containing protein 2,glom
TACC3,transforming acidic coiled-coil containing protein 3,tub
TACO1,translational activator of cytochrome c oxidase I,tub
TACR1,tachykinin receptor 1,tub
TADA2B,transcriptional adaptor 2B,tub
TAF11,TATA-box binding protein associated factor 11,tub
TAF12,TATA-box binding protein associated factor 12,tub
TAF13,TATA-box binding protein associated factor 13,tub
TAF3,TATA-box binding protein associated factor 3,glom
TAF4,TATA-box binding protein associated factor 4,tub
TAF7L,TATA-box binding protein associated factor 7 like,tub
TAGLN2,transgelin 2,tub
TAL1,TAL bHLH transcription factor 1. erythroid differentiation factor,glom
TALDO1,transaldolase 1,glom
TANC1,tetratricopeptide repeat. ankyrin repeat and coiled-coil containing 1,glom
TAOK3,TAO kinase 3,tub
TAP1,transporter 1. ATP binding cassette subfamily B member,tub
TAPBP,TAP binding protein,tub
TAPT1,transmembrane anterior posterior transformation 1,tub
TAX1BP3,Tax1 binding protein 3,glom
TBC1D10A,TBC1 domain family member 10A,tub
TBC1D25,TBC1 domain family member 25,tub
TBC1D2B,TBC1 domain family member 2B,tub
TBC1D31,TBC1 domain family member 31,tub
TBL1XR1,transducin beta like 1 X-linked receptor 1,glom
TBPL1,TATA-box binding protein like 1,glom
TBRG1,transforming growth factor beta regulator 1,tub
TBX19,T-box 19,tub
TBX3,T-box 3,tub
TBXA2R,thromboxane A2 receptor,glom
TBXAS1,thromboxane A synthase 1,tub
TC2N,tandem C2 domains. nuclear,tub
TCAF1,TRPM8 channel associated factor 1,tub
TCAF2,TRPM8 channel associated factor 2,tub
TCAIM,T cell activation inhibitor. mitochondrial,tub
TCEAL3,transcription elongation factor A like 3,glom
TCEAL6,transcription elongation factor A like 6,glom
TCF19,transcription factor 19,tub
TCF21,transcription factor 21,glom
TCF24,transcription factor 24,tub
TCF4,transcription factor 4,tub
TCF7L1,transcription factor 7 like 1,glom
TCHP,trichoplein keratin filament binding,tub
TCIRG1,T cell immune regulator 1. ATPase H+ transporting V0 subunit a3,tub
TCN2,transcobalamin 2,glom
TCOF1,treacle ribosome biogenesis factor 1,tub
TCTA,T cell leukemia translocation altered,tub
TDRD5,tudor domain containing 5,glom
TDRP,testis development related protein,tub
TEAD1,TEA domain transcription factor 1,glom
TECR,trans-2.3-enoyl-CoA reductase,tub
TEDC2,tubulin epsilon and delta complex 2,tub
TEF,TEF. PAR bZIP transcription factor,glom
TENM2,teneurin transmembrane protein 2,glom
TENM3,teneurin transmembrane protein 3,glom
TENT4B,terminal nucleotidyltransferase 4B,tub
TENT5A,terminal nucleotidyltransferase 5A,tub
TENT5B,terminal nucleotidyltransferase 5B,tub
TESK2,testis associated actin remodelling kinase 2,tub
TESPA1,thymocyte expressed. positive selection associated 1,tub
TET1,tet methylcytosine dioxygenase 1,tub
TET2,tet methylcytosine dioxygenase 2,glom
TEX30,testis expressed 30,tub
TEX51,testis expressed 51,tub
TF,transferrin,tub
TFAM,transcription factor A. mitochondrial,tub
TFAP4,transcription factor AP-4,tub
TFB2M,transcription factor B2. mitochondrial,tub
TFDP2,transcription factor Dp-2,tub
TFE3,transcription factor binding to IGHM enhancer 3,glom
TFRC,transferrin receptor,tub
TGFB1,transforming growth factor beta 1,tub
TGFB1I1,transforming growth factor beta 1 induced transcript 1,tub
TGFB2,transforming growth factor beta 2,tub
TGFBR3L,transforming growth factor beta receptor 3 like,tub
TGFBRAP1,transforming growth factor beta receptor associated protein 1,tub
TGIF1,TGFB induced factor homeobox 1,tub
TGM2,transglutaminase 2,tub
THAP7,THAP domain containing 7,tub
THEM4,thioesterase superfamily member 4,tub
THEM6,thioesterase superfamily member 6,tub
THEMIS2,thymocyte selection associated family member 2,tub
THOC5,THO complex 5,tub
THRA,thyroid hormone receptor alpha,tub
THRB,thyroid hormone receptor beta,tub
THSD1,thrombospondin type 1 domain containing 1,tub
TIAL1,TIA1 cytotoxic granule associated RNA binding protein like 1,glom
TIAM1,T cell lymphoma invasion and metastasis 1,tub
TICAM1,toll like receptor adaptor molecule 1,tub
TIFA,TRAF interacting protein with forkhead associated domain,tub
TIMELESS,timeless circadian regulator,tub
TIMM10B,translocase of inner mitochondrial membrane 10B,tub
TIMM17B,translocase of inner mitochondrial membrane 17B,tub
TIMM23,translocase of inner mitochondrial membrane 23,tub
TIMM50,translocase of inner mitochondrial membrane 50,tub
TIMM8A,translocase of inner mitochondrial membrane 8A,tub
TIMP1,TIMP metallopeptidase inhibitor 1,tub
TINAG,tubulointerstitial nephritis antigen,tub
TINCR,TINCR ubiquitin domain containing,tub
TJP1,tight junction protein 1,glom
TKFC,triokinase and FMN cyclase,tub
TKT,transketolase,glom
TLE1,transducin like enhancer of split 1,tub
TLE4,transducin like enhancer of split 4,glom
TLL2,tolloid like 2,tub
TLN1,talin 1,tub
TLR2,toll like receptor 2,tub
TLR3,toll like receptor 3,tub
TLR4,toll like receptor 4,tub
TLR6,toll like receptor 6,tub
TM2D1,TM2 domain containing 1,tub
TM4SF18,transmembrane 4 L six family member 18,tub
TM4SF4,transmembrane 4 L six family member 4,tub
TM4SF5,transmembrane 4 L six family member 5,tub
TM7SF2,transmembrane 7 superfamily member 2,tub
TMA7,translation machinery associated 7 homolog,tub
TMBIM4,transmembrane BAX inhibitor motif containing 4,tub
TMC6,transmembrane channel like 6,tub
TMC7,transmembrane channel like 7,tub
TMCC1,transmembrane and coiled-coil domain family 1,tub
TMCC3,transmembrane and coiled-coil domain family 3,glom
TMCO3,transmembrane and coiled-coil domains 3,tub
TMED3,transmembrane p24 trafficking protein 3,tub
TMED4,transmembrane p24 trafficking protein 4,tub
TMED9,transmembrane p24 trafficking protein 9,tub
TMEM101,transmembrane protein 101,tub
TMEM11,transmembrane protein 11,tub
TMEM116,transmembrane protein 116,tub
TMEM120A,transmembrane protein 120A,tub
TMEM120B,transmembrane protein 120B,tub
TMEM123,transmembrane protein 123,tub
TMEM126A,transmembrane protein 126A,tub
TMEM126B,transmembrane protein 126B,tub
TMEM130,transmembrane protein 130,tub
TMEM131L,transmembrane 131 like,tub
TMEM132A,transmembrane protein 132A,tub
TMEM132E,transmembrane protein 132E,tub
TMEM134,transmembrane protein 134,tub
TMEM136,transmembrane protein 136,tub
TMEM141,transmembrane protein 141,tub
TMEM143,transmembrane protein 143,tub
TMEM14A,transmembrane protein 14A,tub
TMEM14B,transmembrane protein 14B,tub
TMEM14C,transmembrane protein 14C,tub
TMEM154,transmembrane protein 154,tub
TMEM156,transmembrane protein 156,tub
TMEM167A,transmembrane protein 167A,glom
TMEM170A,transmembrane protein 170A,tub
TMEM170B,transmembrane protein 170B,tub
TMEM173,transmembrane protein 173,tub
TMEM174,transmembrane protein 174,tub
TMEM18,transmembrane protein 18,tub
TMEM181,transmembrane protein 181,tub
TMEM184A,transmembrane protein 184A,tub
TMEM19,transmembrane protein 19,tub
TMEM192,transmembrane protein 192,tub
TMEM200A,transmembrane protein 200A,glom
TMEM204,transmembrane protein 204,glom
TMEM206,transmembrane protein 206,tub
TMEM207,transmembrane protein 207,tub
